device_id,timestamp,battery_level,humidity_reading,temperature,charging_cycles,lot_number,region
SC-2024-341-001,2024-10-02 00:00:00,87,81.7,18,209,LOT341,EMEA
SC-2024-341-001,2024-10-12 00:00:00,9,58.9,25,209,LOT341,EMEA
SC-2024-341-001,2024-10-22 00:00:00,54,68.2,21,209,LOT341,EMEA
SC-2024-341-001,2024-11-05 00:00:00,87,66.3,19,209,LOT341,EMEA
SC-2024-341-001,2024-11-15 00:00:00,89,85.2,20,209,LOT341,EMEA
SC-2024-341-001,2024-11-20 00:00:00,88,83.0,19,209,LOT341,EMEA
SC-2024-341-002,2024-10-04 00:00:00,33,91.0,23,246,LOT341,EMEA
SC-2024-341-002,2024-10-16 00:00:00,6,61.2,21,246,LOT341,EMEA
SC-2024-341-002,2024-10-25 00:00:00,66,73.6,25,246,LOT341,EMEA
SC-2024-341-002,2024-11-05 00:00:00,84,59.1,18,246,LOT341,EMEA
SC-2024-341-002,2024-11-14 00:00:00,92,66.1,18,246,LOT341,EMEA
SC-2024-341-002,2024-11-21 00:00:00,92,76.7,21,246,LOT341,EMEA
SC-2024-341-003,2024-10-05 00:00:00,86,59.0,25,181,LOT341,EMEA
SC-2024-341-003,2024-10-11 00:00:00,83,65.4,22,181,LOT341,EMEA
SC-2024-341-003,2024-10-26 00:00:00,87,82.0,19,181,LOT341,EMEA
SC-2024-341-003,2024-11-02 00:00:00,50,78.2,21,181,LOT341,EMEA
SC-2024-341-003,2024-11-14 00:00:00,83,66.2,23,181,LOT341,EMEA
SC-2024-341-003,2024-11-24 00:00:00,91,79.8,20,181,LOT341,EMEA
SC-2024-341-004,2024-10-05 00:00:00,89,87.9,18,203,LOT341,EMEA
SC-2024-341-004,2024-10-12 00:00:00,74,58.2,23,203,LOT341,EMEA
SC-2024-341-004,2024-10-24 00:00:00,84,87.8,23,203,LOT341,EMEA
SC-2024-341-004,2024-11-02 00:00:00,23,83.8,22,203,LOT341,EMEA
SC-2024-341-004,2024-11-14 00:00:00,86,70.6,18,203,LOT341,EMEA
SC-2024-341-004,2024-11-22 00:00:00,91,63.8,18,203,LOT341,EMEA
SC-2024-341-005,2024-10-03 00:00:00,51,93.4,23,178,LOT341,EMEA
SC-2024-341-005,2024-10-16 00:00:00,84,70.5,24,178,LOT341,EMEA
SC-2024-341-005,2024-10-26 00:00:00,91,61.4,21,178,LOT341,EMEA
SC-2024-341-005,2024-11-01 00:00:00,91,61.6,24,178,LOT341,EMEA
SC-2024-341-005,2024-11-14 00:00:00,87,89.4,20,178,LOT341,EMEA
